Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
Marche,Italy,5/27/2021,849062,,,5/27/2021,38011
Molise,Italy,5/27/2021,179972,,,5/27/2021,38014
P.A. Bolzano,Italy,5/27/2021,295591,,,5/27/2021,38041
P.A. Trento,Italy,5/27/2021,283171,,,5/27/2021,38042
Piemonte,Italy,5/27/2021,2384436,,,5/27/2021,38001
Puglia,Italy,5/27/2021,2206392,,,5/27/2021,38016
Sardegna,Italy,5/27/2021,836941,,,5/27/2021,38020
Sicilia,Italy,5/27/2021,2382753,,,5/27/2021,38019
Toscana,Italy,5/27/2021,2004233,,,5/27/2021,38009
Umbria,Italy,5/27/2021,493194,,,5/27/2021,38010
Valle d'Aosta,Italy,5/27/2021,70168,,,5/27/2021,38002
Veneto,Italy,5/27/2021,2663874,,,5/27/2021,38005
,Jamaica,5/27/2021,164703,150273,14430,5/27/2021,388
,Japan,5/27/2021,10595100,7607158,2987942,5/27/2021,392
,Jordan,5/27/2021,1750000,1300000,450000,5/27/2021,400
,Kazakhstan,5/27/2021,3009654,2035781,973873,5/27/2021,398
,Kenya,5/27/2021,960379,960379,0,5/27/2021,404
,Kosovo,5/27/2021,55237,55237,0,5/27/2021,383
,Kuwait,5/27/2021,1820000,822000,38000,5/27/2021,414
,Kyrgyzstan,5/27/2021,54101,37117,6010,5/27/2021,417
,Laos,5/27/2021,750783,614566,136217,5/27/2021,418
,Latvia,5/27/2021,667827,466557,213736,5/27/2021,428
,Lebanon,5/27/2021,715286,479863,235423,5/27/2021,422
,Liechtenstein,5/27/2021,19078,11406,7672,5/27/2021,438
,Lithuania,5/27/2021,1526579,972857,553722,5/27/2021,440
,Luxembourg,5/27/2021,324903,223372,101531,5/27/2021,442
,Malawi,5/27/2021,347638,347638,0,5/27/2021,454
,Malaysia,5/27/2021,2730536,1731231,999305,5/27/2021,458
,Maldives,5/27/2021,469381,307927,161454,5/27/2021,462
,Mali,5/27/2021,87525,72440,15085,5/27/2021,466
,Malta,5/27/2021,498726,311903,195856,5/27/2021,470
,Marshall Islands,5/27/2021,29738,,,5/27/2021,584
,Mauritania,5/27/2021,28382,22109,6273,5/27/2021,478
,Mauritius,5/27/2021,220646,212182,8464,5/27/2021,480
,Mexico,5/27/2021,27709853,19327543,11919690,5/27/2021,484
,Micronesia,5/27/2021,42765,,,5/27/2021,583
,Moldova,5/27/2021,351843,301175,50668,5/27/2021,498
,Monaco,5/27/2021,28663,15688,12975,5/27/2021,492
,Mongolia,5/27/2021,2787884,1843635,944249,5/27/2021,496
,Montenegro,5/27/2021,180839,127177,53662,5/27/2021,499
,Morocco,5/27/2021,13165669,8168964,4996705,5/27/2021,504
